cntr_id,nuts_id,nuts_name,pop_2003,pop_obj1,pop_obj1_ph,pop_obj1_spec_pgm,pop_obj2,pop_obj2_ph,pop_obj2_ph_partly
DE,DE124,Rastatt,226.244,0,0,0,0,0,0
DE,DE125,"Heidelberg, Stadtkreis",142.742,0,0,0,0,0,0
DE,DE126,"Mannheim, Stadtkreis",308.503,0,0,0,47.328,0,0
DE,DE127,Neckar-Odenwald-Kreis,150.91,0,0,0,69.392,0,0
DE,DE128,Rhein-Neckar-Kreis,531.038,0,0,0,0,0,0
DE,DE129,"Pforzheim, Stadtkreis",118.896,0,0,0,0,0,0
DE,DE12A,Calw,161.359,0,0,0,0,0,0
DE,DE12B,Enzkreis,195.075,0,0,0,0,0,0
DE,DE12C,Freudenstadt,122.301,0,0,0,0,0,0
DE,DE131,"Freiburg im Breisgau, Stadtkreis",211.329,0,0,0,0,0,0
DE,DE132,Breisgau-Hochschwarzwald,246.13,0,0,0,0,39.542,0
DE,DE133,Emmendingen,154.806,0,0,0,0,0,0
DE,DE134,Ortenaukreis,413.579,0,0,0,0,0,0
DE,DE135,Rottweil,142.288,0,0,0,0,0,0
DE,DE136,Schwarzwald-Baar-Kreis,211.829,0,0,0,0,0,0
DE,DE137,Tuttlingen,134.488,0,0,0,0,0,0
DE,DE138,Konstanz,272.123,0,0,0,0,0,0
DE,DE139,Lörrach,220.773,0,0,0,0,56.947,0
DE,DE13A,Waldshut,166.932,0,0,0,0,115.126,51.806
DE,DE141,Reutlingen,281.104,0,0,0,0,0,0
DE,DE142,"Tübingen, Landkreis",213.642,0,0,0,0,0,0
DE,DE143,Zollernalbkreis,193.509,0,0,0,60.065,0,0
DE,DE144,"Ulm, Stadtkreis",119.46,0,0,0,0,0,0
DE,DE145,Alb-Donau-Kreis,188.592,0,0,0,0,14.62,0
DE,DE146,Biberach,186.527,0,0,0,0,39.993,0
DE,DE147,Bodenseekreis,202.951,0,0,0,0,0,0
DE,DE148,Ravensburg,272.93,0,0,0,0,0,0
DE,DE149,Sigmaringen,133.848,0,0,0,0,86.609,47.239
DE,DE211,"Ingolstadt, Kreisfreie Stadt",118.952,0,0,0,0,0,0
DE,DE212,"München, Kreisfreie Stadt",1241.07,0,0,0,0,0,0
DE,DE213,"Rosenheim, Kreisfreie Stadt",59.894,0,0,0,0,0,0
DE,DE214,Altötting,109.582,0,0,0,0,0,0
DE,DE215,Berchtesgadener Land,101.504,0,0,0,0,0,0
DE,DE216,Bad Tölz-Wolfratshausen,118.422,0,0,0,0,0,0
DE,DE217,Dachau,132.606,0,0,0,0,0,0
DE,DE218,Ebersberg,121.853,0,0,0,0,0,0
DE,DE219,Eichstätt,122.698,0,0,0,0,111.018,11.68
DE,DE21A,Erding,119.871,0,0,0,0,0,0
DE,DE21B,Freising,157.624,0,0,0,0,0,0
DE,DE21C,Fürstenfeldbruck,197.66,0,0,0,0,0,0
DE,DE21D,Garmisch-Partenkirchen,87.56,0,0,0,0,0,0
DE,DE21E,Landsberg a. Lech,109.645,0,0,0,0,84.078,25.567
DE,DE21F,Miesbach,93.503,0,0,0,0,0,0
DE,DE21G,Mühldorf a. Inn,110.686,0,0,0,0,85.895,24.791
DE,DE21H,"München, Landkreis",303.125,0,0,0,0,0,0
DE,DE21I,Neuburg-Schrobenhausen,90.931,0,0,0,0,62.915,28.016
DE,DE21J,Pfaffenhofen a. d. Ilm,114.165,0,0,0,0,0,0
DE,DE21K,"Rosenheim, Landkreis",243.18,0,0,0,0,0,0
DE,DE21L,Starnberg,127.579,0,0,0,0,0,0
DE,DE21M,Traunstein,169.903,0,0,0,0,0,0
DE,DE21N,Weilheim-Schongau,129.938,0,0,0,0,0,0
DE,DE221,"Landshut, Kreisfreie Stadt",60.169,0,0,0,0,0,0
